Forecast_Origin,Target_Date,Model,Prediction_Type,Actual,Predicted,n_raw_features,n_trans_features,n_sel_features,n_model_used_features
2008-11-30,2008-12-31,MIDASNowcast,conditional_nowcast,-0.010217136308419583,0.013908879,145,145,145,145
2008-12-31,2009-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2009-01-31,2009-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2009-02-28,2009-03-31,MIDASNowcast,conditional_nowcast,-0.046167150812611,0.01414091,145,145,145,145
2009-03-31,2009-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2009-04-30,2009-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2009-05-31,2009-06-30,MIDASNowcast,conditional_nowcast,-0.011288747062405236,0.010864103,145,145,145,145
2009-06-30,2009-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2009-07-31,2009-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2009-08-31,2009-09-30,MIDASNowcast,conditional_nowcast,0.0009814821166660437,0.010132805,145,145,145,145
2009-09-30,2009-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2009-10-31,2009-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2009-11-30,2009-12-31,MIDASNowcast,conditional_nowcast,-0.016736201035252307,0.012883027,145,145,145,145
2009-12-31,2010-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2010-01-31,2010-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2010-02-28,2010-03-31,MIDASNowcast,conditional_nowcast,0.006978848417380945,0.0123949535,145,145,145,145
2010-03-31,2010-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2010-04-30,2010-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2010-05-31,2010-06-30,MIDASNowcast,conditional_nowcast,0.005916073754971052,0.011657857,145,145,145,145
2010-06-30,2010-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2010-07-31,2010-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2010-08-31,2010-09-30,MIDASNowcast,conditional_nowcast,0.0045017346013507265,0.01243255,145,145,145,145
2010-09-30,2010-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2010-10-31,2010-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2010-11-30,2010-12-31,MIDASNowcast,conditional_nowcast,0.01616451396050067,0.0109018795,145,145,145,145
2010-12-31,2011-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2011-01-31,2011-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2011-02-28,2011-03-31,MIDASNowcast,conditional_nowcast,0.029207156684403657,0.012942929,145,145,145,145
2011-03-31,2011-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2011-04-30,2011-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2011-05-31,2011-06-30,MIDASNowcast,conditional_nowcast,0.019333146536267165,0.011877188,145,145,145,145
2011-06-30,2011-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2011-07-31,2011-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2011-08-31,2011-09-30,MIDASNowcast,conditional_nowcast,-0.002459748693606656,0.0114601655,145,145,145,145
2011-09-30,2011-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2011-10-31,2011-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2011-11-30,2011-12-31,MIDASNowcast,conditional_nowcast,0.012303679510205612,0.010843731,145,145,145,145
2011-12-31,2012-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2012-01-31,2012-02-29,MIDASNowcast,conditional_nowcast,,,145,145,145,145
