Forecast_Origin,Target_Date,Model,Prediction_Type,Actual,Predicted,n_raw_features,n_trans_features,n_sel_features,n_model_used_features
2008-01-31,2008-02-29,ElasticNetNowcast,conditional_nowcast,,0.019086741014537896,287,287,287,287
2008-02-29,2008-03-31,ElasticNetNowcast,conditional_nowcast,-0.004058422957828434,0.018722401043125055,287,287,287,287
2008-03-31,2008-04-30,ElasticNetNowcast,conditional_nowcast,,-0.007143382372442549,287,287,287,287
2008-04-30,2008-05-31,ElasticNetNowcast,conditional_nowcast,,0.018854735471689768,287,287,287,287
2008-05-31,2008-06-30,ElasticNetNowcast,conditional_nowcast,0.005000478150454235,0.02157371459678287,287,287,287,287
2008-06-30,2008-07-31,ElasticNetNowcast,conditional_nowcast,,0.09614522778339381,287,287,287,287
2008-07-31,2008-08-31,ElasticNetNowcast,conditional_nowcast,,0.01674873338820497,287,287,287,287
2008-08-31,2008-09-30,ElasticNetNowcast,conditional_nowcast,-0.013691531464755435,0.016736622879602897,287,287,287,287
2008-09-30,2008-10-31,ElasticNetNowcast,conditional_nowcast,,-0.08881028055988983,287,287,287,287
2008-10-31,2008-11-30,ElasticNetNowcast,conditional_nowcast,,0.010774028530102675,287,287,287,287
2008-11-30,2008-12-31,ElasticNetNowcast,conditional_nowcast,-0.010217136308419583,0.010367539980155355,287,287,287,287
2008-12-31,2009-01-31,ElasticNetNowcast,conditional_nowcast,,0.7395403910068112,287,287,287,287
2009-01-31,2009-02-28,ElasticNetNowcast,conditional_nowcast,,0.04014143149588079,287,287,287,287
2009-02-28,2009-03-31,ElasticNetNowcast,conditional_nowcast,-0.046167150812611,0.04389752603224569,287,287,287,287
2009-03-31,2009-04-30,ElasticNetNowcast,conditional_nowcast,,-0.2923124508238906,287,287,287,287
2009-04-30,2009-05-31,ElasticNetNowcast,conditional_nowcast,,-0.018155204986672543,287,287,287,287
2009-05-31,2009-06-30,ElasticNetNowcast,conditional_nowcast,-0.011288747062405236,-0.022004491410488887,287,287,287,287
2009-06-30,2009-07-31,ElasticNetNowcast,conditional_nowcast,,0.061490223610324114,287,287,287,287
2009-07-31,2009-08-31,ElasticNetNowcast,conditional_nowcast,,0.009296686130251275,287,287,287,287
2009-08-31,2009-09-30,ElasticNetNowcast,conditional_nowcast,0.0009814821166660437,-0.00035149936241519325,287,287,287,287
2009-09-30,2009-10-31,ElasticNetNowcast,conditional_nowcast,,0.015943065104613054,287,287,287,287
2009-10-31,2009-11-30,ElasticNetNowcast,conditional_nowcast,,-0.00822420992972407,287,287,287,287
2009-11-30,2009-12-31,ElasticNetNowcast,conditional_nowcast,-0.016736201035252307,-0.015862885190634793,287,287,287,287
2009-12-31,2010-01-31,ElasticNetNowcast,conditional_nowcast,,0.007592991557743706,287,287,287,287
2010-01-31,2010-02-28,ElasticNetNowcast,conditional_nowcast,,0.021402740433279097,287,287,287,287
2010-02-28,2010-03-31,ElasticNetNowcast,conditional_nowcast,0.006978848417380945,0.013575019074175788,287,287,287,287
2010-03-31,2010-04-30,ElasticNetNowcast,conditional_nowcast,,0.013163179383980197,287,287,287,287
2010-04-30,2010-05-31,ElasticNetNowcast,conditional_nowcast,,0.014562359446950824,287,287,287,287
2010-05-31,2010-06-30,ElasticNetNowcast,conditional_nowcast,0.005916073754971052,0.007351969139874206,287,287,287,287
