number,value,datetime_start,datetime_complete,duration,params_corr_top_n_k,params_elasticnet_alpha,params_elasticnet_l1,params_enet_cv,params_enet_fill,params_enet_l1_ratio,params_enet_max_iter,params_fa_comp,params_fast_screen_k,params_lasso_alpha,params_lgbm_alpha,params_lgbm_colsample,params_lgbm_lambda,params_lgbm_lr,params_lgbm_max_depth,params_lgbm_min_child,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_subsample,params_model,params_pca_comp,params_selector,params_step_size,params_train_window,params_variance_threshold,user_attrs_error_message,user_attrs_eval_mode,user_attrs_mae,user_attrs_mape,user_attrs_model,user_attrs_model_params,user_attrs_n_eval_points,user_attrs_n_features_input,user_attrs_n_features_used,user_attrs_n_folds,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_rmse,user_attrs_runtime_sec,user_attrs_seed,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
10,0.006595982481263877,2026-04-21 10:13:24.359172,2026-04-21 10:13:41.652151,0 days 00:00:17.292979,,,,,,,,,32.0,,0.28557760377859653,0.9086017384971528,0.00016061309194726736,0.005334763180834776,10.0,22.0,67.0,49.0,0.7679542509179929,lightgbm,,fast_screen,3,60,,,common_frequency,0.005957344066472728,157.25817538576376,lightgbm,"{""n_estimators"": 67, ""learning_rate"": 0.005334763180834776, ""num_leaves"": 49, ""max_depth"": 10, ""min_child_samples"": 22, ""subsample"": 0.7679542509179929, ""colsample_bytree"": 0.9086017384971528, ""reg_alpha"": 0.28557760377859653, ""reg_lambda"": 0.00016061309194726736}",30,287,287,10,32,287,32,287,0.006595982481263877,5.59,123,fast_screen,"{""top_n"": 32}",success,3,60,expanding,COMPLETE
11,0.005091744961935449,2026-04-21 10:13:29.549222,2026-04-21 10:13:50.933309,0 days 00:00:21.384087,,,,5.0,mean,0.6839631938695769,2000.0,,64.0,,,,,,,,,,,elasticnet,,fast_screen,3,60,,,common_frequency,0.003919260478231026,85.33653901220448,elasticnet,"{""l1_ratio"": 0.6839631938695769, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""mean""}",30,287,287,10,64,287,64,287,0.005091744961935449,13.55,123,fast_screen,"{""top_n"": 64}",success,3,60,expanding,COMPLETE
12,0.005150696366831358,2026-04-21 10:13:41.767647,2026-04-21 10:14:30.160854,0 days 00:00:48.393207,,,,5.0,mean,0.11701555133802888,2000.0,,,,,,,,,,,,,elasticnet,,none,1,80,,,common_frequency,0.00407600187545546,105.91037829870005,elasticnet,"{""l1_ratio"": 0.11701555133802888, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""mean""}",30,287,287,30,287,287,287,287,0.005150696366831358,43.55,123,none,{},success,1,80,expanding,COMPLETE
13,0.005283717716365935,2026-04-21 10:13:42.814238,2026-04-21 10:14:37.527226,0 days 00:00:54.712988,49.0,,,5.0,zero,0.12153082665680837,5000.0,,,,,,,,,,,,,elasticnet,,corr_top_n,1,80,,,common_frequency,0.004382188400060905,102.87921309572505,elasticnet,"{""l1_ratio"": 0.12153082665680837, ""cv"": 5, ""max_iter"": 5000, ""fill_strategy"": ""zero""}",30,287,287,30,49,287,49,287,0.005283717716365935,49.23,123,corr_top_n,"{""top_n"": 49}",success,1,80,expanding,COMPLETE
14,0.006742884436083425,2026-04-21 10:13:48.881974,2026-04-21 10:14:54.744977,0 days 00:01:05.863003,,,,5.0,mean,0.10659469667003849,1000.0,3.0,,,,,,,,,,,,elasticnet,,factor_analysis,1,60,,,common_frequency,0.00550330776741173,110.64442422123935,elasticnet,"{""l1_ratio"": 0.10659469667003849, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,3,287,3,287,0.006742884436083425,60.9,123,factor_analysis,"{""n_components"": 3}",success,1,60,expanding,COMPLETE
15,0.005291466731244387,2026-04-21 10:13:51.638838,2026-04-21 10:14:21.398512,0 days 00:00:29.759674,13.0,,,5.0,mean,0.2075306491388132,1000.0,,,,,,,,,,,,,elasticnet,,corr_top_n,1,60,,,common_frequency,0.0045192659278312265,105.95122350855138,elasticnet,"{""l1_ratio"": 0.2075306491388132, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,13,287,13,287,0.005291466731244387,25.89,123,corr_top_n,"{""top_n"": 13}",success,1,60,expanding,COMPLETE
16,0.006743703997826522,2026-04-21 10:14:21.618751,2026-04-21 10:15:27.189696,0 days 00:01:05.570945,,,,5.0,mean,0.8700676881025737,2000.0,3.0,,,,,,,,,,,,elasticnet,,factor_analysis,1,80,,,common_frequency,0.005503345611604509,110.59476116119826,elasticnet,"{""l1_ratio"": 0.8700676881025737, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""mean""}",30,287,287,30,3,287,3,287,0.006743703997826522,58.44,123,factor_analysis,"{""n_components"": 3}",success,1,80,expanding,COMPLETE
17,0.005210991051968999,2026-04-21 10:14:30.494113,2026-04-21 10:15:20.154822,0 days 00:00:49.660709,,,,5.0,mean,0.8886729612770771,2000.0,,,,,,,,,,,,,elasticnet,,none,1,80,,,common_frequency,0.004128101156274198,106.78403480539636,elasticnet,"{""l1_ratio"": 0.8886729612770771, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""mean""}",30,287,287,30,287,287,287,287,0.005210991051968999,42.37,123,none,{},success,1,80,expanding,COMPLETE
18,0.005210959800562474,2026-04-21 10:14:37.653734,2026-04-21 10:14:57.005589,0 days 00:00:19.351855,,,,5.0,mean,0.878282014284419,2000.0,,,,,,,,,,,,,elasticnet,,none,3,80,,,common_frequency,0.0041280620414459596,106.78282455456399,elasticnet,"{""l1_ratio"": 0.878282014284419, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""mean""}",30,287,287,10,287,287,287,287,0.005210959800562474,16.28,123,none,{},success,3,80,expanding,COMPLETE
19,0.005210831039952073,2026-04-21 10:14:56.997705,2026-04-21 10:15:19.255667,0 days 00:00:22.257962,,,,5.0,mean,0.8349304034307099,2000.0,,,,,,,,,,,,,elasticnet,,none,3,80,,,common_frequency,0.00412789748667524,106.7778134692291,elasticnet,"{""l1_ratio"": 0.8349304034307099, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""mean""}",30,287,287,10,287,287,287,287,0.005210831039952073,17.47,123,none,{},success,3,80,expanding,COMPLETE
20,0.005207898449654921,2026-04-21 10:14:58.023186,2026-04-21 10:15:26.759990,0 days 00:00:28.736804,,,,5.0,mean,0.37195435760430395,2000.0,,,,,,,,,,,,,elasticnet,,none,3,80,,,common_frequency,0.004124007268392869,106.66070044691985,elasticnet,"{""l1_ratio"": 0.37195435760430395, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""mean""}",30,287,287,10,287,287,287,287,0.005207898449654921,17.66,123,none,{},success,3,80,expanding,COMPLETE
