number,value,datetime_start,datetime_complete,duration,params_ae_dim,params_corr_top_n_k,params_dfm_factor_order,params_dfm_k_factors,params_elasticnet_alpha,params_elasticnet_l1,params_fa_comp,params_fast_screen_k,params_lasso_alpha,params_pca_comp,params_rolling_window_size,params_selector,params_step_size,params_train_window,params_window_type,user_attrs_dfm_factor_order,user_attrs_dfm_k_factors,user_attrs_mae,user_attrs_mixed_frequency,user_attrs_n_eval_points,user_attrs_n_folds,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_rmse,user_attrs_rolling_window_size,user_attrs_runtime_sec,user_attrs_scale_x,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
26,,2026-04-20 02:16:43.933139,,,,,1,4,,,15.0,,,,,factor_analysis,3,60,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
27,,2026-04-20 02:16:44.064806,,,,,1,4,,,,,,17.0,,pca,3,80,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
28,0.014790430530295934,2026-04-20 02:16:44.196582,2026-04-20 03:05:40.756581,0 days 00:48:56.559999,,,1,1,0.12105865206049994,0.5211903313152656,,,,,,elasticnet,3,100,expanding,1.0,1.0,0.011502960398745522,False,212.0,71.0,5.0,287.0,5.0,287.0,0.014790430530295934,,2880.18,True,elasticnet,"{'alpha': 0.12105865206049994, 'l1_ratio': 0.5211903313152656}",success,3.0,100.0,expanding,COMPLETE
29,,2026-04-20 02:16:44.330374,,,10.0,,2,2,,,,,,,,autoencoder,1,60,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
30,,2026-04-20 10:42:28.890643,,,,,1,1,,,,,,18.0,,pca,3,100,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
31,,2026-04-20 10:42:29.029749,,,,,2,4,0.3511472428138012,0.3075833263074681,,,,,60.0,elasticnet,1,120,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
32,,2026-04-20 10:42:29.167591,,,,,3,2,,,,,,,,none,3,100,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
33,,2026-04-20 10:42:29.321605,,,,,1,2,0.09562560785103168,0.3517938222106637,,,,,40.0,elasticnet,3,60,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
34,,2026-04-20 10:42:29.457044,,,,,2,1,,,,52.0,,,,fast_screen,1,80,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
35,,2026-04-20 10:42:29.623528,,,,38.0,3,4,,,,,,,60.0,corr_top_n,3,60,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
36,,2026-04-20 10:42:29.769669,,,,22.0,3,1,,,,,,,40.0,corr_top_n,3,60,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
37,,2026-04-20 10:42:29.904013,,,,,1,4,,,,28.0,,,60.0,fast_screen,1,80,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
38,,2026-04-20 10:42:30.041935,,,,,2,3,,,,,0.12922285491452612,,,lasso,1,100,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
39,,2026-04-20 10:42:30.177786,,,15.0,,2,2,,,,,,,40.0,autoencoder,1,80,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
40,0.015681055336232125,2026-04-20 10:50:46.620728,2026-04-20 10:54:13.688414,0 days 00:03:27.067686,,,2,2,,,,,0.15115583394228238,,60.0,lasso,3,80,rolling,2.0,2.0,0.012238761004493988,False,232.0,78.0,5.0,287.0,5.0,287.0,0.015681055336232125,60.0,204.08,True,lasso,{'alpha': 0.15115583394228238},success,3.0,80.0,rolling,COMPLETE
